Lexeme                         Line  Token name                     Value      Parent                         Leaf?    Non terminal symbol           
-                              11    TK_MINUS                       0.00       <lowPrecedenceOperators>       yes      ---                           
---                            -1    <lowPrecedenceOperators>       0.00       <expPrime>                     no       <lowPrecedenceOperators>      
---                            -1    <expPrime>                     0.00       <expPrime>                     no       <expPrime>                    
(                              11    TK_OP                          0.00       <factor>                       yes      ---                           
---                            -1    <factor>                       0.00       <term>                         no       <factor>                      
c5                             11    TK_ID                          0.00       <SingleOrRecId>                yes      ---                           
---                            -1    <SingleOrRecId>                0.00       <var>                          no       <SingleOrRecId>               
0                              0     TK_EPS                         0.00       <option_single_constructed>    yes      ---                           
---                            -1    <option_single_constructed>    0.00       <SingleOrRecId>                no       <option_single_constructed>   
---                            -1    <var>                          0.00       <factor>                       no       <var>                         
---                            -1    <factor>                       0.00       <term>                         no       <factor>                      
---                            -1    <term>                         0.00       <arithmeticExpression>         no       <term>                        
0                              0     TK_EPS                         0.00       <termPrime>                    yes      ---                           
---                            -1    <termPrime>                    0.00       <term>                         no       <termPrime>                   
---                            -1    <arithmeticExpression>         0.00       <factor>                       no       <arithmeticExpression>        
-                              11    TK_MINUS                       0.00       <lowPrecedenceOperators>       yes      ---                           
---                            -1    <lowPrecedenceOperators>       0.00       <expPrime>                     no       <lowPrecedenceOperators>      
---                            -1    <expPrime>                     0.00       <arithmeticExpression>         no       <expPrime>                    
5                              11    TK_NUM                         5.00       <var>                          yes      ---                           
---                            -1    <var>                          0.00       <factor>                       no       <var>                         
---                            -1    <factor>                       0.00       <term>                         no       <factor>                      
---                            -1    <term>                         0.00       <expPrime>                     no       <term>                        
0                              0     TK_EPS                         0.00       <termPrime>                    yes      ---                           
---                            -1    <termPrime>                    0.00       <term>                         no       <termPrime>                   
0                              0     TK_EPS                         0.00       <expPrime>                     yes      ---                           
---                            -1    <expPrime>                     0.00       <expPrime>                     no       <expPrime>                    
)                              11    TK_CL                          0.00       <factor>                       yes      ---                           
---                            -1    <term>                         0.00       <expPrime>                     no       <term>                        
0                              0     TK_EPS                         0.00       <termPrime>                    yes      ---                           
---                            -1    <termPrime>                    0.00       <term>                         no       <termPrime>                   
0                              0     TK_EPS                         0.00       <expPrime>                     yes      ---                           
---                            -1    <expPrime>                     0.00       <expPrime>                     no       <expPrime>                    
)                              11    TK_CL                          0.00       <factor>                       yes      ---                           
---                            -1    <term>                         0.00       <arithmeticExpression>         no       <term>                        
/                              11    TK_DIV                         0.00       <highPrecedenceOperator>       yes      ---                           
---                            -1    <highPrecedenceOperator>       0.00       <termPrime>                    no       <highPrecedenceOperator>      
---                            -1    <termPrime>                    0.00       <term>                         no       <termPrime>                   
4                              11    TK_NUM                         4.00       <var>                          yes      ---                           
---                            -1    <var>                          0.00       <factor>                       no       <var>                         
---                            -1    <factor>                       0.00       <termPrime>                    no       <factor>                      
0                              0     TK_EPS                         0.00       <termPrime>                    yes      ---                           
---                            -1    <termPrime>                    0.00       <termPrime>                    no       <termPrime>                   
---                            -1    <arithmeticExpression>         0.00       <factor>                       no       <arithmeticExpression>        
0                              0     TK_EPS                         0.00       <expPrime>                     yes      ---                           
---                            -1    <expPrime>                     0.00       <arithmeticExpression>         no       <expPrime>                    
;                              11    TK_CL                          0.00       <factor>                       yes      ---                           
---                            -1    <term>                         0.00       <arithmeticExpression>         no       <term>                        
0                              0     TK_EPS                         0.00       <termPrime>                    yes      ---                           
---                            -1    <termPrime>                    0.00       <term>                         no       <termPrime>                   
---                            -1    <arithmeticExpression>         0.00       <assignmentStmt>               no       <arithmeticExpression>        
0                              0     TK_EPS                         0.00       <expPrime>                     yes      ---                           
---                            -1    <expPrime>                     0.00       <arithmeticExpression>         no       <expPrime>                    
;                              11    TK_SEM                         0.00       <assignmentStmt>               yes      ---                           
---                            -1    <stmt>                         0.00       <otherStmts>                   no       <stmt>                        
